org_id,program_id,program_name,friendliness_rating,MinAge,MaxAge,Health Status Requirements,Gender Requirement,Access to Services,Description,Program Timing,spanish_speaking,program_category,services_offered
9,11,,,13,24,,,,"Teen Living Programs serve youth ages 13 to 24 who became homeless because of serious family issues, including substance abuse, and physical or sexual abuse. Many are ostracized due to their sexual orientation. While escaping these situations and leaving their homes may provide temporary relief, life on the streets carries the serious threat of increased suffering from predators, disease, and greater physical deprivation.We deliver comprehensive, long-term solutions to youth without homes who strive for self-sufficiency and community connection. Teen Living Programs offers housing, job training, educational support, mental health counseling, holistic health care, and life skills training within a community of professional and passionate support.",,,Multiple,"drop-in, employment program, education, health, counseling"
10,12,Youth Lounge,LGBT-Friendly,,,,,Drop-in,"Drop-in space includes
• A home-cooked dinner
• Clothing
• Music and voguing
• Quiet space for sleeping
• Wii and games
• Referrals
• Community",Drop-in space on the 2nd and 4th Saturdays of each month for young people.,,Drop-In,"drop-in, affirming church"
11,13,Youth Futures,,13,25,,,,,"- Teen Living Programs Drop-In Center, 3619 S. State Street, Suite 300 on Tuesdays at 3:30 pm.
- The Peace Corner Youth Center, 5022 W. Madison on the first two Wednesdays of the month at 3:30 pm.
- Center on Halsted, 3656 N. Halsted on Wednesdays at 1:00 pm.",,Legal,legal
12,14,,LGBT-Focused,,,,,,,,,Art,arts
13,15,,,,,,,,,,,Counseling,counseling
14,16,,,,,,,,,"Office Hours: Monday-Thursday, 9-4 PM; Clinical hours are Wednesday 1-5; and testing is available on
Tuesday & Thursdays from 11 AM-3 PM ",,Health,"case management, hiv/sti testing, health, counseling"
15,17,,,,,,,,"Provide food, computers, and programming for youth. Other programs call for hours.","Drop In Program: Monday and Friday, 9-5; Tuesday-Thursday, 2-10.
",,Multiple,"drop-in, case management, hiv/sti testing, counseling"
16,18,Virtual Learning,,,,,,,,Online 24/7.,,Education,education
16,19,Getting Back in School (Alternative Learning Opportunities Program (ALOP)),,17,21,,,,,,,Education,education
16,20,Students in Temporary Living Situations,,,,,,"Eligibility: Under the McKinney­Vento Act, children and youth lacking a “fixed, regular, and adequate nighttime  residence” have the right to STLS services. You qualify for the STLS program if you are currently living: in a shelter, doubled ­up at the residence of relatives, friends, or others due to a loss of permanent housing, in a hotel, motel, trailer park, or camping ground due to a loss of permanent housing, in cars, parks, public spaces, abandoned buildings, bus or train stations, or other inadequate shelter, temporarily housed (under temporary custody) while awaiting DCFS foster care placement, couch surfing, or as a refugee or migrant in any of the above situations.

Enrollment : Runaway, locked ­out, or otherwise unaccompanied youth (youth not in custody of a parent, guardian, institution, or the state) can enroll themselves in school and the STLS program and are entitled to all the same rights listed below. If you are able to graduate before the age of 21 (even if you had previously dropped out), you have the right to enroll in: the school you attended when last permanently housed (school of origin), the school you were last enrolled in (school of origin), or any school with enrollment open to children and youth.

Immediate enrollment
The schools mentioned above must immediately enroll you even if you lack health, immunization or school records, proof of guardianship, or proof of residency. Even if you have dropped out and are returning to school, you must be immediately enrolled (if you can finish before the age of 21).

Services
Schools receive funds to provide services to students in temporary living situations and to continue these services until the end of the school year in which these students become permanently housed. These services include (but are not limited to) waiver of mandatory school fees, transportation, provision of school uniforms, a backpack and school supplies, enrollment in the free lunch program, tutoring, and (if offered at the school) medical, dental, vision and mental health services.

Enrolling in STLS
To enroll in the STLS program, ask to speak with the STLS clerk or liaison at your school. He or she will ask you to fill out forms for enrollment and specific STLS services, such as transportation assistance, school uniforms, fee waivers and supplies. Be sure to fill out a form for each request you make through STLS. The clerk or liaison should go through all forms with you, and answer any questions you may have. While you can enroll your self in school and the STLS program, you can also bring a trusted adult with you if you wish.

You may enroll in the program at any time during the school year. If you continue to need STLS services, you must reenroll each school year. Once enrolled in the program, however, students may continue receiving STLS services for the duration of that school year, even if they become permanently housed.

If you have questions about enrollment in school, or want more information about the rights of homeless studen ts in the Chicago Public Schools, call STLS at 773-553-2242. If you want more information about the rights of homeless students in Illinois, call the Illinois State Board of Education at 800-215-6379.
",,,,Education,education
17,21,,,,,,,"Youth must be referred by a caseworker, teacher or court officer. Youth are only interviewed on scheduled days.",,,,Employment,
18,22,,,,,,,,,,,Food,food
19,23,,,,,,,,,"Open Tuesday, every week of the year 10:30 AM - 1:00 PM (grocery distribution). ",,Food,
20,24,,,,,,,,,,,Multiple,
21,25,,,,,,,"To qualify, individuals must go through 311 and indicate a need for “Short-Term Help.”",Short-term financial assistance.,,,Multiple,
22,26,,,,,,,,,,,Food,
23,27,,,,,,,,,,,Food,
24,28,,,,,,,"Call Phone Number to find nearest DHS office.
",Helps low‐income people and families buy the food they need. You apply for benefits by completing an application form. Minors who are living a part from their parent/guardian can apply on their own. Benefits are provided on the Link Card ‐ an electronic card that is accepted at most grocery stores.,,,Food,
25,29,,,,,,,,,,,Health,"case management, hiv/sti testing, hiv/sti prevention, HIV+ services"
26,30,,,,,,,,"• Medical clinic
• Educational forums
• Testing and condoms
• Referral services
• Mental health services
• Needle exchange
• Substance abuse services
• Support groups ",Mon-Thurs 9am-9pm and Fri 9am-3pm,,Health,"substance abuse, hiv/sti testing, syringe exchange"
27,31,Lakeview Specialty Clinic,,,,,,,"These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. ","The hours of operation for these clinics, with the exception of the West Town Clinic, will be Monday, Wednesday and Friday from 8:00 a.m. to 4:00 p.m. and Tuesday and Thursday from 10:00 a.m. to 6:00 p.m. Please call West Town for further information on their specific hours of operation.",,Health,hiv/sti testing
28,32,South Austin Public Health Center,,,,,,,"These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. ","The hours of operation for these clinics, with the exception of the West Town Clinic, will be Monday, Wednesday and Friday from 8:00 a.m. to 4:00 p.m. and Tuesday and Thursday from 10:00 a.m. to 6:00 p.m. Please call West Town for further information on their specific hours of operation.",,Health,hiv/sti testing
39,33,West Town Specialty Clinic,,,,,,,"These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. ",Call for hours,,Health,hiv/sti testing
30,34,Englewood Specialty STD Clinic,,,,,,,"These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. ","The hours of operation for these clinics, with the exception of the West Town Clinic, will be Monday, Wednesday and Friday from 8:00 a.m. to 4:00 p.m. and Tuesday and Thursday from 10:00 a.m. to 6:00 p.m. Please call West Town for further information on their specific hours of operation.",,Health,hiv/sti testing
31,35,,Gay and Bisexual Men-Focused,,,,,,"Provides free testing for the following:

HIV
syphilis
chlamydia
gonorrhea
HIV/STD Testing is targeted to gay and bisexual men.  Please call the facility for the testing schedule. ",,,Health,hiv/sti testing
32,36,,,,,,,,"No Appointments are necessary.

Follow-up medical referrals provided as needed

The screening clinic offers confidential testing.  HIV results are available in 2 weeks.  Results from other tests are available in 1 week.

Service are provided regardless of ability to pay.","Testing Times:

Monday through Friday - 8:30am to 3:30pm",,Health,hiv/sti testing
33,37,,,,,,,,Free walkin HIV/STD and Syphilis screenings,"Monday- 1pm-5pm
Tuesay - 8:30am-12:30pm
Thursday: 1pm-5pm
Friday: 8:30am-12:30pm",,Health,hiv/sti testing
34,38,,,,,,,Please bring ID,"Free Walkin Clinic
Provide STD screening/treatment, confidential rapid HIV testing (results in 20 min)","Tuesdays, 1:30pm to 4:30pm",,Health,
35,39,,,,,,,,"Direct2Housing is an online resource to help you locate housing options closest to you. You can limit your search based on many different categories, including age range, HIV status, type, and location.
",,,Housing,
36,40,,Trans-Focused,,,,,,"Offers: free, zealous, life-affirming, and gender-affirming holistic criminal legal services to low-income and street based transgender and gender non-conforming people targeted by the criminal legal system—including support to change your legal name through the NAME CHANGE MOBILIZATION PROJECT. TJLP takes referrals from organizations or through word of mouth. If you would like more information about our legal services or how to contact our project attorney, please email us at info@tjlp.org.  NOT a 501c3.
",,,Legal,legal
37,41,,,,,,,,"Free 24-hour legal help for people (or friends of people) who are arrested or detained at Chicago police
stations.
",,,Legal,legal
38,42,,,,,,,,"Offers:
• Legal assistance for domestic violence and and sexual assault survivors.
• Orders of protection.
• Civil no contact orders. ",,,Legal,"legal, domestic violence"
39,43,,,,,,,,,,,Legal,legal
40,44,,,,,,,,,,,Legal,legal
41,45,,,0,17,,,,Provides free legal assistance and referral service s for minors (18 and under). ,,,Legal,legal
42,46,,LGBT-Friendly,,,,,,"Attorneys assist minors and adults in seeking citizenship or other immigration status through representation or
referralsNIJC is welcoming
of undocumented persons, unaccompanied minors and LGBTQ youth and adults. Fees are
charged on a sliding scale based on client’s income, with fee waiver requests considered for individuals unable
 to pay. ",,,Legal,legal
43,47,,LGBT-Focused,,,,,,,,partially,Health,"case management, activism, hiv/sti testing, HIV+ services, health"
44,48,,,,,,,,,,,Health,"health, pregnant and/or parenting youth services"
45,49,,,,,,,,,,,Health,sexual assault
46,50,,,,,,,,,,,Health,sexual assault
47,51,,,,,,,,,,,Multiple,"domestic violence, sexual assault"
9,52,SCOPe (Street and Community Outreach Program),,,,,,,"Offers:
• Referrals
• Case management
• Bus cards
• Hygiene and safer sex supplies
• Clothing
• School supplies
• Food ","Outreach Sites and Times: (Rain/Snow, etc may change outreach sites)
• Monday, 2-6 PM @ Dunbar H.S., Wendell Phillips H.S., and between 35th and King
• Tuesday, 2-6 PM @ 79th and Cottage Grove
• Wednesday, 3-7 PM @ 63rd and Halsted Green Line
• Thursday, 2-6 PM @ 95th Redline (95th and Dan Ryan) ",,Multiple,street outreach
48,53,VALEO for LGBTQ,LGBT-Friendly,,,,,,"Offers:
• Inpatient services
• Outpatient services
• Requires payment but may be negotiable
",,,Health,"substance abuse, counseling"
49,54,,,,,,,,,,,Health,substance abuse
50,55,Recovery Point,,18,,,,,,,,Counseling,substance abuse
51,56,,,,,,,,,,,Hotline,counseling
52,57,,,13,24,,,,,,,Hotline,counseling
53,58,,,,,,,,"Peer-based syringe exchange offer safer hormone and injection drug use information and free sterile syringes
(for both hormone injection and drugs). ",,,Health,syringe exchange
54,59,,,,,,,,"Offers: At each outreach site, Chicago Recover Alliance offers:
• Free and legal syringe exchange
• Cotton
• Alcohol pads
• Water
• Cookers
• Free printed information on safer use
• Water-based lubes
• Male and female condoms
• Addiction treatment
• Health referrals
• Free HIV antibody, Hepatitis A, B, & C testing ","Multiple sites, including locations in Edgewater, Uptown, and Woodlawn. For site and hours
information, visit www.anypositivechange.org/slt.html or call 773-471-0999. ",,Health,"substance abuse, hiv/sti testing, syringe exchange"
55,60,,,,,,,,"Offers: COIP provides free:
• Needle exchange services
• Condoms
• Clothing
• HIV and STI counseling and testing
• Harm reduction and drug abuse counseling
• Referrals to drug treatment ","Monday through Friday 9am to
5pm",,Health,"hiv/sti testing, syringe exchange"
25,61,,,,,,,,"ADULTS CAN BUY SYRINGES AT PHARMACIES WITHOUT A PRESCRIPTION
Illinois law permits adults 18 years of age and older to purchase up to 20 syringes at their local pharmacy without a prescription. Customers who have experienced difficulty in purchasing syringes without a prescription at their pharmacy are encouraged to contact the AIDS Foundation of Chicago Syringe Access and Disposal Project Coordinator at 312- 922-2322. Many Illinois pharmacies also provide free sharps containers and educational materials about proper disposal and drug treatment to customers buying syringes without a prescription. ",,,Health,syringe exchange
56,62,,,,,,,,,,,Activism,activism
57,63,,,,,,,,,,,Activism,activism
58,64,,,11,18,,,,"Offers: For youth aged grades 6-12, provides
• Courses in a variety of art media
• College planning
• Career development
• Art portfolio development
Courses require parent or guardian orientation, but this can be negotiated by calling (312) 944-2418 ext. 211. ",,,Art,arts
59,65,,,,,,,,"Since 1973, ARC has worked to empower women by providing professional and mentoring opportunities in the
visual arts. ARC serves to raise public awareness on various community-based issues by presenting exhibits,
workshops, discussion groups, and programs by and for under-served populations. ",,,Art,arts
60,66,,,,,,,,"A not-for-profit dedicated to community development through the arts, Art Forward partners with existing
organizations and groups to facilitate the production of publicly displayed collaborative works that amplify the
voice of community residents. ",,,Art,arts
61,67,,,,,,,,"ESS is a nonprofit organization for the production, presentation, and preservation of innovative sonic arts,
including music in all genres, audio art, sound for cinema and performance, intermedia, installation, and media arts.",,,Art,arts
62,68,,,,,,,,"Urban Art Retreat (UAR) is an all-inclusive space to facilitate education about art and social justice issues.
Through programming and events, we believe that art can be an important tool to bring about change in
surrounding communities. UAR hosts an art gallery, women’s residence, art studio, and off-site services. ",,,Art,arts
63,69,,,,,,,,"Urban Art Retreat (UAR) is an all-inclusive space to facilitate education about art and social justice issues.
Through programming and events, we believe that art can be an important tool to bring about change in
surrounding communities. UAR hosts an art gallery, women’s residence, art studio, and off-site services. ",,,Art,arts
64,70,,,,,,,,Insight Arts is a contemporary arts organization dedicated to increasing access to cultural work that supports progressive social change. They offer free arts education and humanities classes. ,,,Art,arts
65,71,,,,,,,,"Mission Arts connects emerging, under-represented artists, under-served youth & the community by providing working studio space, education programming & arts enrichment to the community of Rogers Park. ",,,Art,arts
66,72,,,,,,,,"Offers:
• Referrals to shelters, counseling, legal aids, child protection & victim compensation.
• Counselors available in Spanish and other languages through AT&T Language Line. ",,,Domestic Violence,domestic violence
67,73,,LGBT-Friendly,,,,,,,,,Domestic Violence,domestic violence
68,74,,,,,,,,,,,Domestic Violence,domestic violence
69,75,,,,,,,,"Offers: Spanish speaking agency with
• Domestic violence counseling referrals
• Group counseling. ",,Y,Domestic Violence,domestic violence
70,76,,LGBT-Friendly,,,,,,"Offers: Based on a sliding scale fee,
• DUI classes, anger management classes, domestic violence classes for batterers
• Group and individual counseling including women, men, LGBTQ",,,Domestic Violence,domestic violence
71,77,,LGBT-Friendly,,,,,,"Between Friends provides counseling and court advocacy services if you are experiencing or have experience
d domestic or dating violence. Between Friends works with both youth and adults and is welcoming of LGBTQ
community.
",,,Domestic Violence,domestic violence
72,78,,,,,,,,Same­day clinic offers free assistance if you are seeking an order of protection,,,Domestic Violence,domestic violence
73,79,,,,,,,,,,,Legal,hate crimes and discrimination
73,80,,,,,,,,,,,Legal,hate crimes and discrimination
2,81,,,,,,,,,,,Legal,hate crimes and discrimination
74,82,,,,,,,,,,,Legal,hate crimes and discrimination
75,83,,,,,,,,,,,Legal,hate crimes and discrimination
76,84,,,,,,,,"Related to discrimination in housing, employment, credit transactions, bonding, public accommodations. ",,,Legal,hate crimes and discrimination
77,85,,,,,,,,,,,Legal,hate crimes and discrimination
78,86,,,,,HIV+,,,,,,Legal,legal
79,87,,,14,21,,,"Eligibility Criteria:
For residential services must meet HUD definition of homeless person and be 18 to 21.
For Drop in Services must be between 14-21 and homeless.

Fees:
All services are free of charge.

Applying for Services:
Contact the program to apply for services.

Referral and Intake:
Must show proof of age
Must complete a tuberculosis screening","Neon Street Dorms is a transitional living program for homeless youth ages 18 to 21. The primary focus of the program is to help young adults transition into their own apartment after gaining employment and completing their high school diploma/ GED. Other services offered include case management, health care and psychiatric services. Participants can stay in the residential program for up to 24 months or their 21st birthday.
Neon Street Dorms also provides drop in services for homeless youth 14-21. Services include employment and educational assistance, case management services, meals, laundry, showers.","Drop In Services, Monday- Friday 9 a.m. - 7 p.m.",,Housing,"showers, laundry"
80,88,Direct Services,,,,HIV+,,"--For Direct Services-- On your initial visit to our Direct Services, you will meet with our staff to determine eligibility, to orient you to the agency, and to evaluate for possible fees for services. To find out if you qualify, you must bring the following to the first visit:
Proof of HIV status with recent CD4 and viral load lab results
Contact information for medical provider and case manager (if you have one)
Proof of income (SSI/SSDI letter, check stub, tax return, unemployment letter, etc.)
Proof of health insurance (if you have insurance)
Contact Alejandra Peña apena@projectvida.org or Andrew Roberts aroberts@projectvida.org to schedule an appointment, or call (773) 277-2291.",,,Partially,Health,"food, hiv/sti testing, hiv/sti prevention, HIV+ services, counseling"
80,89,CRU,LGBT-Focused,,24,,Male,"The CRU program is for Latino and African American Gay, Bisexual, Transgender and Queer/Questioning (GBTQ) young men under 24.","What do we do in the CRU program?
The CRU program is conducted through individual & group sessions, where we discuss sexual health, relationships, self-esteem, coming out, and HIV/AIDS and STI prevention.","Group Tuesdays 6:30 PM - 8:30 PM
Individual sessions as needed
Workshops in community settings and at partner organizations
Outreach twice a month at various venues throughout Chicagoland",,Counseling,"hiv/sti prevention, counseling"
82,90,,,,,,,,"This hotline is free and anonymous offering callers the most up-to-date, medically-accurate information on AIDS/HIV and sexually-transmitted diseases (STDs), emotional support, and state-wide referrals for healthcare and social services related to AIDS/HIV and STDs. This program offers services in English and Spanish and provides a wealth of information and referrals to callers.",,Y,Health,hiv/sti testing
83,91,,,,,,,,,,,Health,"hiv/sti testing, hiv/sti prevention, counseling"
84,92,Gender and Sex Development Program,,,,,,,"At Lurie Children’s Gender and Sex Development Program, you will find warmth, support and exceptional care provided by a diverse team of specialists from disciplines including General Pediatrics, Adolescent Medicine, Endocrinology, Urology, Surgery, Psychiatry and Psychology.Our team operates two programs; each is designated to provide comprehensive, family-centered care.Services for Gende​r Development
We provide services for youth and adol​escents for:
- Children with gender-non conforming behavior
- Gender-questioning and transgender youthServices for Sex Development
We provide care for newborns and children with sex development conditions.",,,Health,health
43,93,LESBIAN COMMUNITY CARE PROJECT,,,35,,Women or Trans,"No appointment necessary.  Services are provided on a first come,first served basis.Please be sure to bring an ID and proof of income* with you.*Examples: two check stubs, a W2 form, or a notarized letter indicating that you have no income.","
On the last Wednesday of each month, LCCP offers the following FREE services for uninsured women and trans people:- Breast/chest exam
- Pelvic exam
- Pap test
- Behavioral/mental health visit
- HIV testing
- Gonorrhea/Chlamydia testingLCCP also partners with Healing Foundations to provide convenient and comprehensive 30-minute acupuncture treatments in a group setting for a low cost of $15.","Last Wednesday of Each Month - Check in begins at 5:00 p.m.
Services run from 6:00 – 8:00 p.m.",,Health,"hiv/sti testing, health"
2,94,LGBTQ Violence Resource Line,LGBT Focused,,,,,,"Center on Halsted LGBTQ Violence Resource Line was created in response to the growing need for victim assistance for lesbian, gay, bisexual, transgender and HIV-positive (LGBTQH) people. It is the only LGBTQ-specific program committed to addressing violence against and within LGBTQ communities in Illinois. It has become a cornerstone of recovery for many LGBTQH victims, witnesses, and friends of those who have experience bias/discrimination, or domestic, sexual, hate or police violence in the Chicago area. Very few other organizations provide victim assistance that meets the needs of this population—needs which continue to exceed available community resources. The LGBTQ Violence Resource line is answered during regular business hours, Monday through Friday, and callers can expect a response within one business day. The line can provide callers with safety planning, information and referrals, personal, legal and media advocacy, public outreach and education, and crisis counseling. There are no fees for Violence Resource Line services. ",,,Domestic Violence,"domestic violence, hate crimes and discrimination"
85,95,The Trans Focus Group,LGBT Focused,18,,,Trans,The Trans Focus Group is an inclusive support and discussion group for transgender people of color.  You must be 18 years old or older to participate.,"The Trans Focus Group is an inclusive support and discussion group for transgender people of color.  You must be 18 years old or older to participate.The meetings are open and welcoming to anyone within the trans spectrum. This includes, but is not limited to transgender men and women and people who identify as intersex, two spirited, and/or genderqueer. Wherever you are on your journey of transition (or nontransition), or if you are just questioning, please join us. We welcome you!",3rd Thursday of the Month,,Counseling,counseling
86,96,HIV Outpatient Services,,,,HIV+,,,"Provident Hospital HIV Program provides comprehensive, wrap-around services that include outpatient primary care, mental health, psychosocial, dental, substance abuse, medication adherence, outreach/prevention and case management services to approximately 400 HIV patients residing in South side community areas.If you need transportation to your clinic appointment, please call the nurses office at (312) 572-2734 or (312) 572-2736 at least one day prior to your appointment.",,,Health,"hiv/sti testing, HIV+ services, health, counseling"
87,97,,,,,,,,"Jackson Park Hospital offers confidential services. Appointments are preferred, walk-in’s welcome, uninsured welcome.
-Screening for STDs / STIs including HIV,
-Diagnosis and onsite treatment for STDs/STIs
-Laboratory and Diagnostic Services, and
-Health Education/Risk Reduction Counseling.","Hours of operation
STD Clinic: Tuesdays, 1:00 to 4:00pm
HIV Clinic: Thursdays, 1:00-4:00pm",,Health,hiv/sti testing
