org_id,organization_name,address,address2,city,state,zip,phone,website_url,public_email,Latitude,Longitude
27,Chicago Department of Public Health - Lakeview Specialty Clinic,2861 North Clark Street,,Chicago,IL,60657,312-744-5507,www.gettestedchicago.com,,41.934563,-87.646308
28,Chicago Department of Public Health - South Austin Public Health Center,4958 W. Madison,,Chicago,IL,60644,312-746-4871,www.gettestedchicago.com,,41.892953,-87.761562
29,Chicago Department of Public Health - West Town Specialty Clinic,2418 W. Division,,Chicago,IL,60622,312-744-5464,www.gettestedchicago.com,,41.903355,-87.666496
30,Chicago Department of Public Health - Englewood Specialty STD Clinic,641 W. 63rd Street,,Chicago,IL,60621,312-747-8900,www.gettestedchicago.com,,41.779556,-87.641629
31,Steamworks Chicago,3246 North Halsted,,Chicago,IL,60657,773-929-6080,,,41.94038,-87.65318
32,The Ruth M. Rothstein CORE Center,2020 W. Harrison,,Chicago,IL,60612,312-572-4700,,,41.881661,-87.692626
33,Uptown Teen Health Center,4867 N. Broadway,,Chicago,IL,60640,773-506-4624,,,41.970873,-87.658869
34,The Care Center at Jackson Park Hospital,1625 E. 75th St,2nd floor,Chicago,IL,60649,773-947-7271,,,41.759792,-87.564304
35,Direct 2 Housing,,,,,,,www.direct2housing.org,,,
36,Transformative Justice Law Project of Illinois,4707 N. Broadway,Suite 307,Chicago,IL,60640,773-272-1822,www.tjlp.org ,info@tjlp.org,41.967633,-87.658702
37,First Defense Legal Aid,,,,,,1-800-LAW-REP-4 (1-800-529-7374) ,,,,
38,Life Span (Kris Krafka),20 E Jackson Blvd # 500,,Chicago,IL,60604,312-408-1210,www.life-span.org ,,41.878245,-87.625774
39,Legal Assistance Foundation of Chicago,"120 S. LaSalle Street, Ste. 900",,Chicago,IL,60603,312-341-1070,www.lafchicago.org,,41.879869,-87.632774
40,Coalition for the Homeless Law Project,,,,,,1-800-940-1119,www.chicagohomeless.org/programs-campaigns/legal-aid/law-project,,,
41,Loyola ChildLaw Clinic,"16 East Pearson St., 11th Floor",,Chicago,IL,60611,312-915-6481 ,,,41.892509,-87.61617
42,National Immigant Justice Center,"208 S. LaSalle St., Suite 1818 ",,Chicago,IL,60604,312-660-1370 ,www.immigrantjustice.org ,,41.879138,-87.632606
43,Howard Brown Health Center,4025 North Sheridan Road,,Chicago,IL,60613,773-388-1600 ,www.howardbrown.org,,41.955195,-87.654432
44,All Kids Hotline,,,,,,866-255-5437,,,,
45,Chicago Rape Crisis Hotline,,,,,,888-293-2080 ,,,,
46,Rape Victim Advocates,,,,,,312-443-9603,,,,
47,YMCA of Metropolitan Chicago,,,,,,888-293-2080,www.ywca.org/site/pp.asp?c=euLRI7OZH&b=62681 ,,,
48,Chicago Lakeshore Hospital,4840 North Marine Dr.,,Chicago,IL,60640,800-888-0560,www.chicagolakeshorehospital.com/GLBT/ ,,41.970198,-87.650599
49,Substance Abuse Mental Health Services Administration Information Network,,,,,,800-662-HELP (4357) ,www.samhsa.gov,,,
50,Recovery Point (Community Counseling Services of Chicago),4740 North Clark Street,,Chicago,IL,60640,773-769-0205 ,www.c4chicago.org/services/substance-use ,,41.967815,-87.667299
51,National Suicide Hotline,,,,,,800-784-2433 ,,,,
52,The Trevor Project,,,,,,"866-4UTrevor, 866-488-7386",www.thetrevorproject.org ,,,
53,Young Women's Empowerment Project,,,Chicago,IL,,312-806-2155,www.youarepriceless.org ,,,
54,Chicago Recovery Alliance,,,Chicago,IL,,773-471-0999,www.anypositivechange.org/crainfo.html ,,,
55,Community Outreach Intervention Projects (COIP),4407 N. Broadway,,Chicago,IL,60640,773-561-3177,www.coip.org ,,41.962133,-87.655339
56,Street Youth R!se Up/Street Youth in Motion,,,,,,,www.youarepriceless.org ,Dominique@youarepriceless.org ,,
57,H.E.L.L.O. (Homeless Exprerts Living Life's Obstacles),,,,,,773-784-9000 ,www.thenightministry.org ,,,
58,Marwen,833 North Orleans Street,,Chicago,IL,60610,312- 944-2418,www.marwen.org,,41.897606,-87.636879
59,ARC Gallery and Educational Foundation,832 W. Superior Street #204,,Chicago,IL,60642,312-733-2787 ,www.arcgallery.org,,41.895595,-87.634448
60,Art Forward,1759 N. Kedzie Avenue,,Chicago,IL,60647,773-386-0686,www.artforward.org ,,41.913646,-87.706479
61,Experimental Sound Studio (ESS),,,,,,,,,,
62,Urban Art Retreat,1957–59 S. Spaulding Avenue,,Chicago,IL,60623,773-542-9126 ,www.urbanartretreat.com ,,41.853765,-87.70739
63,Rumble Arts,3413 West North Avenue,,Chicago,IL,60647,773-278-4441 ,www.rumblearts.com ,,41.909916,-87.712564
64,Insight Arts,6934 N. Glenwood Ave #2C,,Chicago,IL,60626,773-338-5933,www.insightartsliberation.org/home.html ,info@insightartsliberation.org,42.005448,-87.665902
65,Mission Arts,,,Chicago,IL,,773-827-4460,www.missionartist.org ,info@missionartist.org,,
66,National Domestic Violence Hotline,,,,,,"800-799-SAFE, 800-799-7233 ",www.thehotline.org,,,
67,Project Out at South Suburban Family Shelter,,,Homewood,IL,,"24-Hour Hotline: 708-335-3028, 877-335-3020 (toll free) ",www.ssfs1.org ,,,
68,Connections for Abused Women and their Children,,,Chicago,IL,,"24 hour hotline - 773-278-4566; Daytime - 773-278-4110, (TTY) 773-278-4114",www.cawc.org ,,,
69,Mujeres Latinas En Accion,2124 West 21st Place,,Chicago,IL,60608,"312-738-5358, 773-890-7676",www.mujereslatinasenaccion.org/index.html ,,41.853061,-87.679354
70,Avance Domestic Abuse Intervention Program,4765 N Lincoln Suite 203/204,,Chicago,IL,60625,773-293-1770 ,www.avancecounseling.com/domestic_violence_program,,41.971107,-87.702482
71,Between Friends,,,,,,773-724-5232,www.betweenfriendschicago.org,,,
72,Domestic Violence Legal Clinic,"555 W. Harrison St., Suite 1900 ",,Chicago,IL,60604,312.325.9155,www.dvlcchicago.org,,41.873879,-87.641802
73,Chicago Police Department,,,,,,Non-Emergency: 311,,,,
74,American Civil Liberties Union,"180 N. Michigan Ave., Suite 2300",,Chicago,IL,60601,312-201-9740 ,www.aclu-il.org/index.shtml ,,41.885537,-87.624987
75,Chicago Lawyers Committee for Civil Rights Under the Law,"100 North LaSalle Street, Suite 600,",,Chicago,IL,60602,312-630-9744 ,www.clccrul.org/index.html ,,41.883574,-87.632726
76,Chicago Commission on Human Relations,740 N Sedgwick St # 3,,Chicago,IL,60654,312-744-4111 ,www.cityofchicago.org/city/en/depts/cchr.html ,,41.89551,-87.638566
77,IL Department on Human Rights,"100 West Randolph Street, Suite 10-100",,Chicago,IL,60601,"312-814-6200, TTY 217-785-5125 ",www.state.il.us/dhr,,41.883993,-87.619706
78,AIDS Legal Council,"180 N. Michigan Avenue, Suite 2110",,Chicago,IL,60601,"866-506-3038, 312-427-8990 ",www.aidslegal.com ,,41.885537,-87.624987
79,Neon Street Dorms,4506 N Sheridan,,Chicago,IL,60640,773-433-1290,http://www.heartlandalliance.org/whatwedo/our-programs/directory/neon-street-programs.html,jfilicky@heartlandalliance.org,41.970313,-87.663045
80,Direct Services from Project VIDA,2659 South Kedvale Avenue,,Chicago,IL,60623,(773) 277-2291,http://www.projectvida.org/,,41.8425,-87.727792
82,Illinois HIV/STI/STD Hotline,,,,,,(800) 243-2437,,,,
83,South Side Help Center,1525 East 55th Street - Suite 300-A,,Chicago,IL,60615,773.701.4246,http://www.southsidehelp.org/2msm.html,,41.800392,-87.603826
84,Lurie Children's Hospital of Chicago,225 E. Chicago Ave.,,Chicago,IL,60611,(773) 303-6056,https://www.luriechildrens.org/en-us/care-services/specialties-services/gender-program/Pages/index.aspx,Jleininger@luriechildrens.org,41.896305,-87.621743
85,Affinity Community Services,"1424-28 E. 53rd St., Ste. 306",,Chicago,IL,60615,(773) 324-0377,http://affinity95.org/,,41.799846,-87.590688
86,Provident Hospital,500 East 51st Street,,Chicago,IL,60615,312-572-2724,http://www.providenthiv.com/,,41.802605,-87.613763
87,Jackson Park Hospital,"1625 E. 75th St., 2nd floor",,Chicago,IL,60649,(773) 947-7271,http://www.jacksonparkhospital.org/,,41.758588,-87.58493
