org_id	program_id	program_name	friendliness_rating	MinAge	MaxAge	spanish_speaking	Health Status Requirements	Gender Requirement	sexual_orientation_requirement	Access to Services	Description	Program Timing	program_category	services_offered
16	20	Students in Temporary Living Situations								Eligibility: Under the McKinney­Vento Act, children and youth lacking a “fixed, regular, and adequate nighttime  residence” have the right to STLS services. You qualify for the STLS program if you are currently living: in a shelter, doubled ­up at the residence of relatives, friends, or others due to a loss of permanent housing, in a hotel, motel, trailer park, or camping ground due to a loss of permanent housing, in cars, parks, public spaces, abandoned buildings, bus or train stations, or other inadequate shelter, temporarily housed (under temporary custody) while awaiting DCFS foster care placement, couch surfing, or as a refugee or migrant in any of the above situations.  Enrollment : Runaway, locked ­out, or otherwise unaccompanied youth (youth not in custody of a parent, guardian, institution, or the state) can enroll themselves in school and the STLS program and are entitled to all the same rights listed below. If you are able to graduate before the age of 21 (even if you had previously dropped out), you have the right to enroll in: the school you attended when last permanently housed (school of origin), the school you were last enrolled in (school of origin), or any school with enrollment open to children and youth. Immediate enrollment: The schools mentioned above must immediately enroll you even if you lack health, immunization or school records, proof of guardianship, or proof of residency. Even if you have dropped out and are returning to school, you must be immediately enrolled (if you can finish before the age of 21). Services: Schools receive funds to provide services to students in temporary living situations and to continue these services until the end of the school year in which these students become permanently housed. These services include (but are not limited to) waiver of mandatory school fees, transportation, provision of school uniforms, a backpack and school supplies, enrollment in the free lunch program, tutoring, and (if offered at the school) medical, dental, vision and mental health services. Enrolling in STLS: To enroll in the STLS program, ask to speak with the STLS clerk or liaison at your school. He or she will ask you to fill out forms for enrollment and specific STLS services, such as transportation assistance, school uniforms, fee waivers and supplies. Be sure to fill out a form for each request you make through STLS. The clerk or liaison should go through all forms with you, and answer any questions you may have. While you can enroll your self in school and the STLS program, you can also bring a trusted adult with you if you wish. You may enroll in the program at any time during the school year. If you continue to need STLS services, you must reenroll each school year. Once enrolled in the program, however, students may continue receiving STLS services for the duration of that school year, even if they become permanently housed. If you have questions about enrollment in school, or want more information about the rights of homeless studen ts in the Chicago Public Schools, call STLS at 773-553-2242. If you want more information about the rights of homeless students in Illinois, call the Illinois State Board of Education at 800-215-6379.  			Education	education
17	21									Youth must be referred by a caseworker, teacher or court officer. Youth are only interviewed on scheduled days.			Employment	employment
18	22												Food	food
19	23											Open Tuesday, every week of the year 10:30 AM - 1:00 PM (grocery distribution). 	Food	food
20	24												Multiple	Hotline
21	25									To qualify, individuals must go through 311 and indicate a need for “Short-Term Help.”	Short-term financial assistance.		Multiple	Hotline
22	26												Food	food
23	27												Food	food
24	28									Call Phone Number to find nearest DHS office.	Helps low‐income people and families buy the food they need. You apply for benefits by completing an application form. Minors who are living a part from their parent/guardian can apply on their own. Benefits are provided on the Link Card ‐ an electronic card that is accepted at most grocery stores.		Food	food
25	29												Health	case management, hiv/sti testing, hiv/sti prevention, HIV+ services, health
26	30										Offers: Medical clinic; Educational forums; Testing and condoms; Referral services; Mental health services; Needle exchange; Substance abuse services; Support groups 	Mon-Thurs 9am-9pm and Fri 9am-3pm	Health	substance abuse, hiv/sti testing, syringe exchange, health
27	31	Lakeview Specialty Clinic									These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. 	The hours of operation for these clinics, with the exception of the West Town Clinic, will be Monday, Wednesday and Friday from 8:00 a.m. to 4:00 p.m. and Tuesday and Thursday from 10:00 a.m. to 6:00 p.m. Please call West Town for further information on their specific hours of operation.	Health	hiv/sti testing, health
28	32	South Austin Public Health Center									These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. 	The hours of operation for these clinics, with the exception of the West Town Clinic, will be Monday, Wednesday and Friday from 8:00 a.m. to 4:00 p.m. and Tuesday and Thursday from 10:00 a.m. to 6:00 p.m. Please call West Town for further information on their specific hours of operation.	Health	hiv/sti testing, health
39	33	West Town Specialty Clinic									These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. 	Call for hours	Health	hiv/sti testing, health
30	34	Englewood Specialty STD Clinic									These clinics offer free, confidential blood tests with results in 10-15 days.  Follow-up medical referrals, counseling, support resources are also available. 	The hours of operation for these clinics, with the exception of the West Town Clinic, will be Monday, Wednesday and Friday from 8:00 a.m. to 4:00 p.m. and Tuesday and Thursday from 10:00 a.m. to 6:00 p.m. Please call West Town for further information on their specific hours of operation.	Health	hiv/sti testing, health
31	35		LGBT Focused					male	gay and bisexual		Provides free testing for the following: HIV, syphilis, chlamydia, gonorrhea. HIV/STD Testing is targeted to gay and bisexual men.  Please call the facility for the testing schedule. 		Health	hiv/sti testing, health
32	36										No Appointments are necessary. Follow-up medical referrals provided as needed. The screening clinic offers confidential testing.  HIV results are available in 2 weeks.  Results from other tests are available in 1 week. Service are provided regardless of ability to pay.	Testing Times:Monday through Friday - 8:30am to 3:30pm	Health	hiv/sti testing, health
33	37										Free walkin HIV/STD and Syphilis screenings	Monday- 1pm-5pm; Tuesay - 8:30am-12:30pm; Thursday: 1pm-5pm; Friday: 8:30am-12:30pm	Health	hiv/sti testing, health
34	38									Please bring ID	Free Walkin Clinic. Provide STD screening/treatment, confidential rapid HIV testing (results in 20 min)	Tuesdays, 1:30pm to 4:30pm	Health	health
35	39										Direct2Housing is an online resource to help you locate housing options closest to you. You can limit your search based on many different categories, including age range, HIV status, type, and location. 		Housing	housing
36	40		LGBT Focused					Trans			Offers: free, zealous, life-affirming, and gender-affirming holistic criminal legal services to low-income and street based transgender and gender non-conforming people targeted by the criminal legal system—including support to change your legal name through the NAME CHANGE MOBILIZATION PROJECT. TJLP takes referrals from organizations or through word of mouth. If you would like more information about our legal services or how to contact our project attorney, please email us at info@tjlp.org.  NOT a 501c3.		Legal	legal
37	41										Free 24-hour legal help for people (or friends of people) who are arrested or detained at Chicago police stations. 		Legal	legal
38	42										Offers: Legal assistance for domestic violence and and sexual assault survivors; Orders of protection; Civil no contact orders. 		Legal	legal, domestic violence
39	43												Legal	legal
40	44												Legal	legal
41	45			0	17						Provides free legal assistance and referral service s for minors (18 and under). 		Legal	legal
42	46		LGBT Friendly								Attorneys assist minors and adults in seeking citizenship or other immigration status through representation or  referrals. NIJC is welcoming of undocumented persons, unaccompanied minors and LGBTQ youth and adults. Fees are charged on a sliding scale based on client’s income, with fee waiver requests considered for individuals unable to pay. 		Legal	legal
43	47		LGBT Focused										Health	health, counseling
44	48												Health	health, pregnant and/or parenting youth services
45	49												Health	sexual assault, health
46	50												Health	sexual assault, health
47	51												Multiple	domestic violence, sexual assault
9	52	SCOPe (Street and Community Outreach Program)									Offers: Referrals; Case management, Bus cards, Hygiene and safer sex supplies, Clothing, School supplies, Food 	Outreach Sites and Times: (Rain/Snow, etc may change outreach sites) Monday, 2-6 PM @ Dunbar H.S., Wendell Phillips H.S., and between 35th and King; Tuesday, 2-6 PM @ 79th and Cottage Grove; Wednesday, 3-7 PM @ 63rd and Halsted Green Line; Thursday, 2-6 PM @ 95th Redline (95th and Dan Ryan) 	Multiple	street outreach, drop-in
48	53	VALEO for LGBTQ	LGBT Friendly								Offers: Inpatient services; Outpatient services; Requires payment but may be negotiable 		Health	substance abuse, counseling, health
49	54												Health	substance abuse, health
50	55	Recovery Point		18									Counseling	substance abuse, counseling, health
51	56												Hotline	counseling, hotline
52	57			13	24								Hotline	counseling, hotline
53	58										Peer-based syringe exchange offer safer hormone and injection drug use information and free sterile syringes (for both hormone injection and drugs). 		Health	syringe exchange, health
54	59										At each outreach site, Chicago Recover Alliance offers: Free and legal syringe exchange; Cotton; Alcohol pads; Water; Cookers; Free printed information on safer use; Water-based lubes; Male and female condoms; Addiction treatment; Health referrals; Free HIV antibody, Hepatitis A, B, & C testing 	Multiple sites, including locations in Edgewater, Uptown,and Woodlawn. For site and hours information, visit www.anypositivechange.org/slt.html or call 773-471-0999. 	Health	substance abuse, hiv/sti testing, syringe exchange, health
55	60										COIP provides free: Needle exchange services; Condoms; Clothing; HIV and STI counseling and testing; Harm reduction and drug abuse counseling; Referrals to drug treatment 	Monday through Friday 9am to 5pm	Health	hiv/sti testing, syringe exchange, health
25	61										ADULTS CAN BUY SYRINGES AT PHARMACIES WITHOUT A PRESCRIPTION Illinois law permits adults 18 years of age and older to purchase up to 20 syringes at their local pharmacy without a prescription. Customers who have experienced difficulty in purchasing syringes without a prescription at their pharmacy are encouraged to contact the AIDS Foundation of Chicago Syringe Access and Disposal Project Coordinator at 312- 922-2322. Many Illinois pharmacies also provide free sharps containers and educational materials about proper disposal and drug treatment to customers buying syringes without a prescription. 		Health	syringe exchange, health
56	62												Activism	activism
57	63												Activism	activism
58	64			11	18						Offers: For youth aged grades 6-12, provides: Courses in a variety of art media; College planning; Career development; Art portfolio development. Courses require parent or guardian orientation, but this can be negotiated by calling (312) 944-2418 ext. 211. 		Art	arts
59	65										Since 1973, ARC has worked to empower women by providing professional and mentoring opportunities in the visual arts. ARC serves to raise public awareness on various community-based issues by presenting exhibits, workshops, discussion groups, and programs by and for under-served populations. 		Art	arts
60	66										A not-for-profit dedicated to community development through the arts, Art Forward partners with existing organizations and groups to facilitate the production of publicly displayed collaborative works that amplify the voice of community residents. 		Art	arts
61	67										ESS is a nonprofit organization for the production, presentation, and preservation of innovative sonic arts, including music in all genres, audio art, sound for cinema and performance, intermedia, installation, and media arts.		Art	arts
62	68										Urban Art Retreat (UAR) is an all-inclusive space to facilitate education about art and social justice issues. Through programming and events, we believe that art can be an important tool to bring about change in surrounding communities. UAR hosts an art gallery, women’s residence, art studio, and off-site services. 		Art	arts
63	69												Art	arts
64	70										Insight Arts is a contemporary arts organization dedicated to increasing access to cultural work that supports progressive social change. They offer free arts education and humanities classes. 		Art	arts
65	71										Mission Arts connects emerging, under-represented artists, under-served youth & the community by providing working studio space, education programming & arts enrichment to the community of Rogers Park. 		Art	arts
66	72										Offers: Referrals to shelters, counseling, legal aids, child protection & victim compensation. Counselors available in Spanish and other languages through AT&T Language Line. 		Domestic Violence	domestic violence
67	73		LGBT Friendly										Domestic Violence	domestic violence
68	74												Domestic Violence	domestic violence
69	75					Y					Offers: Spanish speaking agency with: Domestic violence counseling referrals; Group counseling. 		Domestic Violence	domestic violence
70	76		LGBT Friendly								Offers: Based on a sliding scale fee. DUI classes, anger management classes, domestic violence classes for batterers. Group and individual counseling including women, men, LGBTQ		Domestic Violence	domestic violence
71	77		LGBT Friendly								Between Friends provides counseling and court advocacy services if you are experiencing or have experienced domestic or dating violence. Between Friends works with both youth and adults and is welcoming of LGBTQ community. 		Domestic Violence	domestic violence
72	78										Same­day clinic offers free assistance if you are seeking an order of protection		Domestic Violence	domestic violence
73	79												Legal	hate crimes and discrimination, legal
73	80												Legal	hate crimes and discrimination, legal
2	81										Center on Halsted’s legal program works with an extensive network of LGBTQ-friendly attorneys to provide our community with access to legal resources. Through a short phone conversation, callers to the legal program can either receive referrals to Center on Halsted-affirmed attorneys (who have shown evidence of LGBTQ competence and friendliness) or schedule an appointment with a volunteer attorney at our weekly legal clinic. Appointments are 45 minutes in length, and can provide basic information about the issue, possible options and/or referrals to other legal advocacy groups or other social service resources. These appointments are not intended for individuals who are looking for legal representation, but instead for individuals needing more information. Individuals who have more complex needs or who require representation can access referrals to LGBTQ-affirming attorneys through our legal phone line. To speak with someone from Center on Halsted or to schedule an appointment, call 773-661-0779 or email legal@centeronhalsted.org. 		Legal	hate crimes and discrimination, legal
74	82												Legal	hate crimes and discrimination, legal
75	83												Legal	hate crimes and discrimination, legal
76	84										Related to discrimination in housing, employment, credit transactions, bonding, public accommodations. 		Legal	hate crimes and discrimination, legal
77	85												Legal	hate crimes and discrimination, legal
78	86						HIV+						Legal	legal
79	87			14	21					Eligibility Criteria: For residential services must meet HUD definition of homeless person and be 18 to 21. For Drop in Services must be between 14-21 and homeless. Fees: All services are free of charge. Applying for Services: Contact the program to apply for services. Referral and Intake: Must show proof of age. Must complete a tuberculosis screening	Neon Street Dorms is a transitional living program for homeless youth ages 18 to 21. The primary focus of the program is to help young adults transition into their own apartment after gaining employment and completing their high school diploma/ GED. Other services offered include case management, health care and psychiatric services. Participants can stay in the residential program for up to 24 months or their 21st birthday. Neon Street Dorms also provides drop in services for homeless youth 14-21. Services include employment and educational assistance, case management services, meals, laundry, showers.	Drop In Services, Monday- Friday 9 a.m. - 7 p.m.	Housing	showers, laundry, housing, drop-in
80	88	Direct Services Case Managemnet					HIV+			--For Direct Services-- On your initial visit to our Direct Services, you will meet with our staff to determine eligibility, to orient you to the agency, and to evaluate for possible fees for services. To find out if you qualify, you must bring the following to the first visit: Proof of HIV status with recent CD4 and viral load lab results, Contact information for medical provider and case manager (if you have one), Proof of income (SSI/SSDI letter, check stub, tax return, unemployment letter, etc.), Proof of health insurance (if you have insurance). Contact Alejandra Peña apena@projectvida.org or Andrew Roberts aroberts@projectvida.org to schedule an appointment, or call (773) 277-2291.			Health	case management, health
80	89	CRU	LGBT Focused		24			Male		The CRU program is for Latino and African American Gay, Bisexual, Transgender and Queer/Questioning (GBTQ) young men under 24.	What do we do in the CRU program? The CRU program is conducted through individual & group sessions, where we discuss sexual health, relationships, self-esteem, coming out, and HIV/AIDS and STI prevention.	Group Tuesdays 6:30 PM - 8:30 PM Individual sessions as needed. Workshops in community settings and at partner organizations. Outreach twice a month at various venues throughout Chicagoland	Counseling	hiv/sti prevention, counseling, health
82	90					Y					This hotline is free and anonymous offering callers the most up-to-date, medically-accurate information on AIDS/HIV and sexually-transmitted diseases (STDs), emotional support, and state-wide referrals for healthcare and social services related to AIDS/HIV and STDs. This program offers services in English and Spanish and provides a wealth of information and referrals to callers.		Health	hiv/sti testing, health
83	91												Health	hiv/sti testing, hiv/sti prevention, counseling, health
84	92	Gender and Sex Development Program									At Lurie Children’s Gender and Sex Development Program, you will find warmth, support and exceptional care provided by a diverse team of specialists from disciplines including General Pediatrics, Adolescent Medicine, Endocrinology, Urology, Surgery, Psychiatry and Psychology.Our team operates two programs; each is designated to provide comprehensive, family-centered care.Services for Gende​r Development. We provide services for youth and adol​escents for: Children with gender-non conforming behavior, Gender-questioning and transgender youthServices for Sex Development. We provide care for newborns and children with sex development conditions.		Health	health
43	93	LESBIAN COMMUNITY CARE PROJECT	LGBT Focused		35			Female or Trans	lesbian	No appointment necessary.  Services are provided on a first come,first served basis.Please be sure to bring an ID and proof of income* with you.*Examples: two check stubs, a W2 form, or a notarized letter indicating that you have no income.	 On the last Wednesday of each month, LCCP offers the following FREE services for uninsured women and trans people:- Breast/chest exam; Pelvic exam; Pap test; Behavioral/mental health visit; HIV testing; Gonorrhea/Chlamydia testingLCCP also partners with Healing Foundations to provide convenient and comprehensive 30-minute acupuncture treatments in a group setting for a low cost of $15.	Last Wednesday of Each Month - Check in begins at 5:00 p.m. Services run from 6:00 – 8:00 p.m.	Health	hiv/sti testing, health
2	94	LGBTQ Violence Resource Line	LGBT Focused								Center on Halsted LGBTQ Violence Resource Line was created in response to the growing need for victim assistance for lesbian, gay, bisexual, transgender and HIV-positive (LGBTQH) people. It is the only LGBTQ-specific program committed to addressing violence against and within LGBTQ communities in Illinois. It has become a cornerstone of recovery for many LGBTQH victims, witnesses, and friends of those who have experience bias/discrimination, or domestic, sexual, hate or police violence in the Chicago area. Very few other organizations provide victim assistance that meets the needs of this population—needs which continue to exceed available community resources. The LGBTQ Violence Resource line is answered during regular business hours, Monday through Friday, and callers can expect a response within one business day. The line can provide callers with safety planning, information and referrals, personal, legal and media advocacy, public outreach and education, and crisis counseling. There are no fees for Violence Resource Line services. 		Domestic Violence	domestic violence, hate crimes and discrimination
85	95	The Trans Focus Group	LGBT Focused	18				Trans		The Trans Focus Group is an inclusive support and discussion group for transgender people of color.  You must be 18 years old or older to participate.	The Trans Focus Group is an inclusive support and discussion group for transgender people of color.  You must be 18 years old or older to participate.The meetings are open and welcoming to anyone within the trans spectrum. This includes, but is not limited to transgender men and women and people who identify as intersex, two spirited, and/or genderqueer. Wherever you are on your journey of transition (or nontransition), or if you are just questioning, please join us. We welcome you!	3rd Thursday of the Month	Health	counseling, health
86	96	HIV Outpatient Services					HIV+				Provident Hospital HIV Program provides comprehensive, wrap-around services that include outpatient primary care, mental health, psychosocial, dental, substance abuse, medication adherence, outreach/prevention and case management services to approximately 400 HIV patients residing in South side community areas.If you need transportation to your clinic appointment, please call the nurses office at (312) 572-2734 or (312) 572-2736 at least one day prior to your appointment.		Health	hiv/sti testing, HIV+ services, health, counseling
87	97										Jackson Park Hospital offers confidential services. Appointments are preferred, walk-in’s welcome, uninsured welcome. Screening for STDs / STIs including HIV, Diagnosis and onsite treatment for STDs/STIs, Laboratory and Diagnostic Services, and Health Education/Risk Reduction Counseling.	Hours of operation: STD Clinic: Tuesdays, 1:00 to 4:00pm, HIV Clinic: Thursdays, 1:00-4:00pm	Health	hiv/sti testing, health
80	98	Counseling and Psychosocial Support				Y	HIV+			--For Direct Services-- On your initial visit to our Direct Services, you will meet with our staff to determine eligibility, to orient you to the agency, and to evaluate for possible fees for services. To find out if you qualify, you must bring the following to the first visit: Proof of HIV status with recent CD4 and viral load lab results, Contact information for medical provider and case manager (if you have one), Proof of income (SSI/SSDI letter, check stub, tax return, unemployment letter, etc.), Proof of health insurance (if you have insurance). Contact Alejandra Peña apena@projectvida.org or Andrew Roberts aroberts@projectvida.org to schedule an appointment, or call (773) 277-2291.		Weekly Support Group: Esperanza Tuesdays 4 PM - 6 PM. Bi-Weekly Support Group: The Power of Knowledge (2nd and 4th Mondays) Weekly Therapy Sessions provided by a licensed counselor. Weekly wellness sessions about creating healthy lifestyles - nutrition, physical activity, smoking cessation, etc.)  Where do these services meet? 2659 South Kedvale Avenue, Chicago, IL 60623, Phone: (773) 277-2291 	Counseling	health, counseling
80	99	Food Pantry					HIV+			--For Direct Services-- On your initial visit to our Direct Services, you will meet with our staff to determine eligibility, to orient you to the agency, and to evaluate for possible fees for services. To find out if you qualify, you must bring the following to the first visit: Proof of HIV status with recent CD4 and viral load lab results, Contact information for medical provider and case manager (if you have one), Proof of income (SSI/SSDI letter, check stub, tax return, unemployment letter, etc.), Proof of health insurance (if you have insurance). Contact Alejandra Peña apena@projectvida.org or Andrew Roberts aroberts@projectvida.org to schedule an appointment, or call (773) 277-2291.		Wednesdays Food Distribution 11 AM - 6 PM	Food	food
2	100	Mental Health Services	LGBT Focused								Psychotherapy, Therapy and Support Groups		Counseling	counseling, health
88	101												Hotline	hotline
89	102										24-hour Crisis Intervention Services for homeless minors		Hotline	hotline
90	103												Hotline	hotline, domestic violence
91	104												Hotline	hotline, domestic violence
92	105												Hotline	hotline
93	106	Public Internet Access									Certain websites are prohibited through watchdog software. No food or drinks allowed in the lab. Cell phone use is restricted as well. 13 computers available. Use is timed based but time limits depend on other programming. Public wifi available - no password required.	M-F: 9AM - 5PM	Internet Access	internet access
94	107	Public Internet Access									There are restrictions on websites. Main focus is job searches and resumes. Homework is acceptable too. 20 machines available for untimed access. No wifi.	M-TH: 2PM-4PM	Internet Access	internet access
95	108	Public Internet Access									DO NOT change any settings or download any programs onto the computers. PLEASE do not try to fix it yourself. See a staff member. Use computers for job search only. If not job related it is not allowed. Use ONLY the programs available on the system. Use of USBs is not allowed. 17 machines available for untimed periods. Wifi Available.	M-TH: 9:30AM-9:00AM	Internet Access	internet access
96	109	Public Internet Access									Youth only program, ages 13 to 24. Computers used by participants during the program. Wifi available.	M-F: 4PM-7PM; SA: 12PM- 4PM	Internet Access	internet access
97	110	Public Internet Access									Adults have separate computer areas from the children. Wifi available. 35 computers available for timed use. You are allowed two, 60 minute sessions per day.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
98	111	Public Internet Access		18							No Food or drinks in the lab. No social media sites or games allowed. Children must be accompanied by an adult. 18+. Wifi available. 36 computers available for untimed use.	M-F: 9AM-5PM	Internet Access	internet access
99	112	Public Internet Access									No wifi.	T, TH: 11AM-5PM	Internet Access	internet access
100	113	Public Internet Access									Twelve years old and younger must use the children's computers. 13 years and older must use the adult computers. Wifi available - no password required. 16 computers available for timed access - you are allowed a total of 2 hours per day.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
101	114	Public Internet Access									Wifi available. 20 computers available - no time limits.	Call in advance before coming in, hours vary	Internet Access	internet access
102	115	Public Internet Access		16							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Varies— see details	Internet Access	internet access
103	116	Public Internet Access									Strictly employment related usage allowed (i.e. no youtube, facebook, etc.) No installations. Public computers divided between youth, DHS clients, and general public. Wifi available. 18 computers available for timed access. 45-60 min. if people waiting, if not unlimited	M-F: 9AM-5PM	Internet Access	internet access
104	117	Public Internet Access									Wifi available. 19 computers available. Open lab hours allows for unlimited time usage.	M-Th: 9AM-8PM; Fri: 9AM-5PM	Internet Access	internet access
105	118	Public Internet Access									Need a library card. Wifi might be available. 20 computers available. Use is timed. Maximum of 2 appointments per person per day up to 2 hours.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
106	119	Public Internet Access									We just ask to not bring food or drinks next to any of our public computers ! But if it is your own it is fine! Wifi availble.	M-TH: 9AM-2PM (Subject to staff availability)	Internet Access	internet access
107	120	Public Internet Access									Wifi available. 13 computers available for timed use. 2 login, one hour sessions per day.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
108	121	Public Internet Access									Adults may not use the computers located in the children's area unless there are no children present. Unlimited free wifi. 37 computers available for timed use. Maximum of 2, 60 minute sessions allowed.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
109	122	Public Internet Access									Hours are from 9am - 12pm. The lab reopens at 3pm. Wifi available. 6 computers for unlimited time access.	M-F: 9AM-5PM (office)	Internet Access	internet access
110	123	Public Internet Access										M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
111	124	Public Internet Access									2 sees a day limited to 10 to an hour. Expresss computer system wide. Half before close system goes down.4	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
